log_votes,mpa_PG-13,log_budget,genre_Action,release_year,movie_age,mpa_Not Rated,genre_Documentary,log_gross_worldwide
10.985309671896763,0.0,16.341239282272525,1.0,2005.0,21.0,0.0,0.0,15.76145627781551
6.39024066706535,0.0,16.300417291085605,0.0,2022.0,4.0,0.0,1.0,12.723132794194179
11.034905792929415,0.0,18.951309000896888,0.0,2007.0,19.0,1.0,0.0,16.124637307589694
8.648396877031582,0.0,16.52356082573315,0.0,1996.0,30.0,0.0,0.0,14.529700283079698
10.968215530759236,0.0,16.52356082573315,0.0,2024.0,2.0,0.0,0.0,16.612701035008445
10.239995502805316,1.0,16.648723960844016,0.0,2015.0,11.0,0.0,0.0,17.563293459405635
5.831882477283517,1.0,16.300417291085605,0.0,2019.0,7.0,0.0,1.0,11.197789972403736
9.61587214452889,1.0,16.300417291085605,0.0,1988.0,38.0,0.0,0.0,16.120205523610817
3.295836866004329,0.0,16.300417291085605,0.0,2022.0,4.0,0.0,0.0,7.612336837167746
6.142037405587356,0.0,17.78580249038432,0.0,2001.0,25.0,1.0,0.0,13.93334603668994
4.174387269895637,0.0,16.300417291085605,0.0,2003.0,23.0,0.0,0.0,11.18603121266209
8.94910546953925,0.0,14.963230738098929,0.0,1958.0,68.0,0.0,0.0,10.260987156349417
6.492239835020471,0.0,16.118095750958314,1.0,2024.0,2.0,0.0,0.0,13.344594512593515
9.210440366976517,0.0,16.454567959008102,1.0,2005.0,21.0,0.0,0.0,13.165267682410498
10.203629181337648,0.0,14.914123179965662,0.0,2016.0,10.0,0.0,0.0,16.878992597336097
10.596659732783579,0.0,15.894952224644102,1.0,1991.0,35.0,0.0,0.0,17.678854827014682
7.824445930877619,0.0,16.300417291085605,0.0,2007.0,19.0,0.0,0.0,12.328409740145116
5.60947179518496,0.0,16.300417291085605,0.0,2001.0,25.0,0.0,0.0,13.31053611593172
8.268988209506656,0.0,16.300417291085605,0.0,2022.0,4.0,0.0,0.0,12.603498861488385
6.396929655216146,0.0,15.424948670398354,0.0,2007.0,19.0,0.0,0.0,9.628984915196462
6.892641641172089,0.0,16.300417291085605,0.0,2009.0,17.0,1.0,1.0,8.977777598745481
7.0909098220799835,1.0,16.118095750958314,0.0,1986.0,40.0,0.0,0.0,15.372241124078888
10.404293143019792,0.0,16.300417291085605,0.0,2020.0,6.0,0.0,0.0,13.448005753642505
11.170449240431308,0.0,17.370858648025116,0.0,2023.0,3.0,0.0,0.0,16.328144155178315
10.373522431293592,0.0,16.300417291085605,0.0,1995.0,31.0,0.0,0.0,16.688463598125878
8.268988209506656,0.0,16.300417291085605,0.0,1997.0,29.0,0.0,0.0,15.220033514123633
11.082157933374816,0.0,14.914123179965662,0.0,1978.0,48.0,0.0,0.0,15.066245757639676
8.216358332386156,0.0,16.300417291085605,0.0,1978.0,48.0,0.0,0.0,15.509092540589954
9.472781556562168,0.0,16.300417291085605,0.0,2013.0,13.0,0.0,1.0,13.513813398051303
6.856461984594587,0.0,16.300417291085605,0.0,2008.0,18.0,0.0,0.0,10.689851814807207
11.362114203075018,0.0,16.213405921671733,0.0,2012.0,14.0,0.0,0.0,15.348859552851888
9.952325334619427,1.0,16.300417291085605,0.0,2012.0,14.0,0.0,0.0,16.021002202074417
9.093918908958932,0.0,16.300417291085605,0.0,2020.0,6.0,0.0,0.0,13.657568198797694
9.200391041122515,0.0,24.278613898464396,1.0,2018.0,8.0,1.0,0.0,18.41130199061764
8.31898612539206,0.0,16.300417291085605,1.0,2020.0,6.0,0.0,0.0,15.214718923222874
7.741099090035366,0.0,16.300417291085605,0.0,2001.0,25.0,0.0,1.0,14.712856566437445
10.165890277802454,0.0,14.441449523589984,0.0,1953.0,73.0,0.0,0.0,7.301822342137932
6.692083742506628,0.0,13.567050480716235,0.0,2013.0,13.0,0.0,1.0,8.836228571526014
7.3783837129967145,0.0,16.300417291085605,0.0,2014.0,12.0,1.0,0.0,9.57352408782774
7.496097345175956,0.0,16.300417291085605,0.0,2007.0,19.0,1.0,0.0,14.500578690728288
14.220976332738882,0.0,17.909855136853043,0.0,1999.0,27.0,0.0,0.0,19.474300460959977
7.550135342488429,0.0,16.118095750958314,0.0,1968.0,58.0,0.0,0.0,5.777652323222656
9.392745258631441,0.0,16.300417291085605,1.0,2018.0,8.0,1.0,0.0,17.316223325749704
8.909370405197466,0.0,16.300417291085605,0.0,1992.0,34.0,0.0,0.0,14.949026562640265
5.2832037287379885,0.0,11.918397239722838,0.0,2019.0,7.0,0.0,1.0,9.583213415483687
8.922791623969637,0.0,16.300417291085605,0.0,2021.0,5.0,0.0,0.0,13.772178123257662
7.496097345175956,0.0,14.177372724968894,0.0,1958.0,68.0,0.0,0.0,8.295798110636145
9.392745258631441,0.0,16.300417291085605,0.0,2001.0,25.0,1.0,0.0,15.251273900424128
6.70073110954781,0.0,13.122365377402328,0.0,2017.0,9.0,1.0,1.0,13.494322717573061
11.775297421715827,0.0,16.213405921671733,0.0,2009.0,17.0,0.0,0.0,18.038455803903606
10.819798284210286,0.0,14.508658238524095,0.0,2001.0,25.0,0.0,0.0,15.396316458553903
10.085850775128717,1.0,17.553180200057167,0.0,1996.0,30.0,0.0,0.0,17.5311260233117
7.438971592395862,0.0,16.300417291085605,0.0,2020.0,6.0,0.0,0.0,8.453187861440325
6.740519359606223,1.0,16.648723960844016,0.0,1997.0,29.0,0.0,0.0,13.439660075782202
11.643962499267984,0.0,22.134252810900577,1.0,2022.0,4.0,1.0,0.0,17.730823864410294
11.552155793461898,0.0,16.811242881518265,0.0,2010.0,16.0,0.0,0.0,18.033197223701144
6.45833828334479,0.0,16.300417291085605,0.0,2019.0,7.0,1.0,1.0,13.452138955663163
10.34177474101152,0.0,16.300417291085605,0.0,2012.0,14.0,0.0,0.0,14.273728128689369
5.0238805208462765,0.0,16.300417291085605,0.0,2025.0,1.0,0.0,1.0,11.227773522372072
6.741700694652055,0.0,16.300417291085605,0.0,1940.0,86.0,0.0,0.0,9.992322266236618
8.764209507142004,0.0,16.300417291085605,0.0,1966.0,60.0,0.0,0.0,9.225721474014485
11.362114203075018,0.0,16.380459992348886,0.0,2016.0,10.0,0.0,0.0,16.024022855278396
12.685410698175234,1.0,17.909855136853043,0.0,2011.0,15.0,0.0,0.0,18.731951414917138
9.741027444837728,1.0,16.300417291085605,0.0,1994.0,32.0,0.0,0.0,15.610184110457675
8.006700845440367,0.0,16.300417291085605,0.0,2013.0,13.0,0.0,0.0,10.440185580469512
5.8944028342648505,0.0,16.300417291085605,0.0,2009.0,17.0,1.0,1.0,12.415725606661884
9.200391041122515,0.0,16.300417291085605,0.0,2009.0,17.0,0.0,0.0,11.40135682986576
8.537191877922927,0.0,16.012735246411598,1.0,2001.0,25.0,0.0,0.0,12.544182825703437
10.203629181337648,0.0,16.300417291085605,0.0,2014.0,12.0,0.0,0.0,11.257400757317503
4.465908118654584,0.0,13.122365377402328,0.0,2006.0,20.0,1.0,1.0,9.35452729228868
4.890349128221754,1.0,16.300417291085605,0.0,2012.0,14.0,0.0,0.0,10.896905978325732
10.373522431293592,1.0,15.894952224644102,0.0,2016.0,10.0,0.0,0.0,13.438313613756945
10.668978650219241,1.0,16.300417291085605,0.0,2023.0,3.0,0.0,0.0,9.683900170549684
5.3230099791384085,0.0,16.300417291085605,0.0,2003.0,23.0,0.0,0.0,11.740833647380658
12.700771936142122,0.0,18.420680753952364,1.0,2012.0,14.0,0.0,0.0,19.568006863717883
10.736418414365376,1.0,16.300417291085605,0.0,2006.0,20.0,0.0,0.0,18.04487777740625
10.12667110305036,0.0,14.508658238524095,0.0,2012.0,14.0,0.0,0.0,16.6205512233715
9.210440366976517,1.0,17.034386422832473,0.0,2002.0,24.0,0.0,0.0,16.32529029186156
9.798182590890704,0.0,16.300417291085605,0.0,1990.0,36.0,0.0,0.0,15.533935422579491
11.112462823634855,1.0,17.216707972959764,0.0,2005.0,21.0,0.0,0.0,18.040255700261316
6.400257445308821,0.0,16.300417291085605,0.0,2024.0,2.0,0.0,0.0,10.690580345938601
12.384223015005313,0.0,17.216707972959764,0.0,2000.0,26.0,0.0,0.0,18.733823553423594
7.8636512654486515,0.0,16.300417291085605,0.0,2015.0,11.0,0.0,0.0,17.414933876372555
7.601402334583733,0.0,13.190023895035274,1.0,1975.0,51.0,0.0,0.0,6.529418838262226
10.799595985047786,0.0,14.508658238524095,0.0,2015.0,11.0,0.0,0.0,14.074465170014102
9.546884034617925,0.0,16.300417291085605,0.0,1997.0,29.0,1.0,0.0,14.679558070731009
10.203629181337648,0.0,16.300417291085605,0.0,2001.0,25.0,0.0,0.0,15.967395311853636
10.859018228147887,1.0,16.300417291085605,1.0,2021.0,5.0,0.0,0.0,15.830793106476687
12.380030154325457,0.0,14.845130332288226,0.0,2003.0,23.0,1.0,0.0,14.006260661221969
11.48247656671073,1.0,16.811242881518265,0.0,2015.0,11.0,0.0,0.0,18.03181848754958
5.746203190540153,0.0,16.300417291085605,0.0,2019.0,7.0,1.0,1.0,12.215403972959058
13.910821646859095,0.0,16.705882371415992,1.0,1981.0,45.0,0.0,0.0,19.78146746368613
12.745488641595722,0.0,15.123843647884687,0.0,1989.0,37.0,1.0,0.0,13.640029153895176
9.852246888342531,1.0,18.00361514457493,0.0,1994.0,32.0,0.0,0.0,16.539348146522922
9.741027444837728,0.0,16.300417291085605,0.0,2008.0,18.0,0.0,0.0,17.75805646384869
6.635946555686647,1.0,16.300417291085605,0.0,2007.0,19.0,0.0,1.0,12.22669846332383
8.268988209506656,0.0,16.300417291085605,1.0,1976.0,50.0,0.0,0.0,15.079724286974903
8.45553053102413,1.0,16.300417291085605,0.0,2015.0,11.0,0.0,1.0,14.298374265786835
5.375278407684165,0.0,16.300417291085605,0.0,2013.0,13.0,1.0,1.0,10.678076461683316
10.596659732783579,0.0,16.811242881518265,0.0,1997.0,29.0,0.0,0.0,16.093721090284074
4.343805421853684,0.0,16.300417291085605,0.0,2005.0,21.0,1.0,0.0,9.042394981126735
11.835016210489899,0.0,17.370858648025116,0.0,2015.0,11.0,0.0,0.0,17.92936265492742
6.90875477931522,0.0,16.300417291085605,0.0,1993.0,33.0,0.0,1.0,9.052633375946147
10.043292972227004,1.0,16.300417291085605,0.0,2009.0,17.0,0.0,0.0,17.298853910812817
12.682309930111785,0.0,18.184958423089522,0.0,2019.0,7.0,0.0,0.0,19.974866282544685
11.6172944892629,0.0,17.989897843244528,1.0,2023.0,3.0,0.0,0.0,17.092425906159203
9.99884318585288,0.0,17.216707972959764,0.0,1984.0,42.0,0.0,0.0,17.641072522212983
7.601402334583733,0.0,16.300417291085605,0.0,2019.0,7.0,0.0,1.0,15.118880270940016
11.58989576532275,0.0,15.319588176962746,0.0,2018.0,8.0,1.0,0.0,17.950282524866296
6.641182169740591,0.0,15.830413711839864,0.0,1998.0,28.0,0.0,0.0,11.572297537968923
9.305741456739435,0.0,14.731801689838349,0.0,2012.0,14.0,0.0,1.0,17.325535049696654
12.220966184120165,0.0,18.7922443072814,1.0,2016.0,10.0,0.0,0.0,20.071588426974493
8.575650760987806,0.0,16.300417291085605,0.0,2008.0,18.0,0.0,1.0,11.51750496304386
11.0186455364637,1.0,17.034386422832473,0.0,2006.0,20.0,0.0,0.0,16.72252166640089
8.732465848349879,0.0,16.300417291085605,0.0,1951.0,75.0,1.0,0.0,6.748759547491679
9.071193240566025,0.0,16.300417291085605,0.0,2020.0,6.0,0.0,0.0,14.194242840328544
11.964007453736912,0.0,17.479072229734946,1.0,2007.0,19.0,0.0,0.0,17.11586457662571
12.45293662970407,0.0,16.811242881518265,0.0,2011.0,15.0,0.0,0.0,18.993033279760272
5.5254529391317835,0.0,16.300417291085605,0.0,2003.0,23.0,0.0,0.0,10.881249606498384
12.468440756144114,0.0,14.508658238524095,0.0,2014.0,12.0,1.0,0.0,16.184393093037095
11.561725152903833,0.0,16.648723960844016,0.0,1964.0,62.0,0.0,0.0,18.101658952768258
8.79497643168877,0.0,16.300417291085605,0.0,1991.0,35.0,0.0,0.0,15.251785089201286
7.741099090035366,0.0,16.811242881518265,0.0,2013.0,13.0,0.0,0.0,18.559805048296987
10.757924157061597,0.0,17.034386422832473,0.0,2019.0,7.0,0.0,0.0,16.486524852151618
7.783640596221253,0.0,16.300417291085605,0.0,1962.0,64.0,0.0,0.0,6.675823221634848
6.863803391452954,0.0,16.300417291085605,0.0,2006.0,20.0,0.0,1.0,12.21623087556289
9.99884318585288,1.0,16.380459992348886,0.0,1999.0,27.0,0.0,0.0,16.00738037970795
6.688354713946762,1.0,12.206077645517674,0.0,2013.0,13.0,0.0,0.0,12.691512766712954
9.546884034617925,0.0,17.50439003707821,0.0,2009.0,17.0,0.0,0.0,16.793236027765303
9.798182590890704,0.0,16.300417291085605,0.0,1980.0,46.0,0.0,0.0,17.663918093445325
5.641907070938114,0.0,16.300417291085605,0.0,2000.0,26.0,0.0,0.0,12.157102965248688
11.652696102959753,1.0,17.6867115897055,0.0,2000.0,26.0,0.0,0.0,18.31956906695994
9.071193240566025,0.0,14.845130332288226,0.0,2021.0,5.0,0.0,0.0,13.06512825473998
10.757924157061597,0.0,16.52356082573315,0.0,2007.0,19.0,0.0,0.0,18.021574117783835
10.571342565808699,0.0,16.300417291085605,0.0,2004.0,22.0,0.0,1.0,16.447796657312526
8.24301946898925,0.0,16.300417291085605,0.0,2015.0,11.0,0.0,0.0,19.24539520390366
9.105090961257085,0.0,14.914123179965662,0.0,1989.0,37.0,0.0,0.0,13.676860946719403
5.717027701406222,0.0,16.300417291085605,0.0,2024.0,2.0,1.0,1.0,14.377979984682511
10.308985993422082,0.0,16.300417291085605,0.0,2024.0,2.0,0.0,0.0,13.802852785295977
9.472781556562168,0.0,16.300417291085605,0.0,2010.0,16.0,1.0,0.0,16.062681456259842
6.408528791059498,0.0,16.300417291085605,0.0,1990.0,36.0,0.0,0.0,16.93125990319017
5.908082938168931,1.0,16.300417291085605,0.0,2007.0,19.0,0.0,0.0,12.368097953216747
10.645448706505872,0.0,16.118095750958314,0.0,2006.0,20.0,0.0,0.0,16.507195170380193
13.691081612088286,1.0,19.33697147982652,1.0,2016.0,10.0,0.0,0.0,20.867406367991446
8.881975184248867,0.0,16.300417291085605,0.0,2023.0,3.0,0.0,1.0,11.474475654595029
8.764209507142004,0.0,16.300417291085605,0.0,2019.0,7.0,0.0,0.0,13.124808385933415
4.605170185988092,0.0,16.300417291085605,1.0,2024.0,2.0,0.0,0.0,12.419444610015551
8.294299608857235,0.0,16.300417291085605,0.0,2023.0,3.0,0.0,0.0,14.574835384312697
5.783825182329737,0.0,11.002116507732017,0.0,2008.0,18.0,1.0,0.0,10.799514350728673
7.170888478512505,0.0,13.997832948091215,0.0,2004.0,22.0,0.0,0.0,13.07054994776989
10.165890277802454,0.0,15.607270193858982,0.0,2007.0,19.0,0.0,0.0,12.560458471436265
7.244941546337007,0.0,16.300417291085605,0.0,2023.0,3.0,0.0,0.0,12.858390019039346
11.034905792929415,0.0,18.064005814299346,0.0,2024.0,2.0,0.0,0.0,18.719576302111506
10.373522431293592,0.0,16.300417291085605,0.0,2014.0,12.0,0.0,0.0,13.731685372398786
9.546884034617925,1.0,16.705882371415992,0.0,1986.0,40.0,0.0,0.0,17.415875988498644
10.819798284210286,0.0,16.811242881518265,0.0,1990.0,36.0,0.0,0.0,19.215044215220207
8.366602832783736,0.0,16.300417291085605,0.0,2016.0,10.0,0.0,1.0,15.298190656632467
11.48247656671073,0.0,15.607270193858982,0.0,2003.0,23.0,0.0,0.0,15.466309007878333
8.867990898182093,0.0,15.424948670398354,0.0,2007.0,19.0,1.0,0.0,13.3993737088492
7.601402334583733,0.0,16.300417291085605,0.0,2017.0,9.0,0.0,1.0,12.771267129279435
10.165890277802454,1.0,16.300417291085605,0.0,2022.0,4.0,0.0,0.0,15.730284539963437
14.077875591662238,1.0,19.586951684209556,1.0,2018.0,8.0,0.0,0.0,21.442283005011472
9.61587214452889,0.0,16.300417291085605,0.0,1987.0,39.0,0.0,0.0,11.518579451024427
7.696667081526462,0.0,16.300417291085605,0.0,2005.0,21.0,0.0,0.0,14.263407244517202
10.571342565808699,0.0,18.064005814299346,0.0,2023.0,3.0,0.0,0.0,19.51991883676421
7.650168700845001,0.0,16.300417291085605,0.0,2001.0,25.0,1.0,0.0,13.159483809587766
