id,title,rating_num,votes_num,stars_list,directors_list,writers_list,star_fame,director_fame,writer_fame,combined_fame,star_profile_tier,director_profile_tier,writer_profile_tier,n_stars,n_directors,n_writers
tt0097889,Miracle Mile,7.0,13000.0,"['Anthony Edwards', 'Mare Winningham', 'John Agar', 'Lou Hancock', 'Mykelti Williamson', 'Kelly Jo Minter', 'Kurt Fuller', 'Denise Crosby', 'Robert DoQui', 'O-Lan Jones']",['Steve De Jarnatt'],['Steve De Jarnatt'],41.0,2.0,2.0,15.0,Low-profile,Low-profile,Low-profile,10,1,1
tt0090311,What Comes Around,5.0,168.0,"['Jerry Reed', 'Bo Hopkins', 'Barry Corbin', 'Arte Johnson', 'Ken Jenkins', 'Ernest Dixon', 'Esther Huston', 'Melanie Wheeler', 'Bill McCutcheon', 'Daniel Jenkins']",['Jerry Reed'],"['Gary Smith', 'Dave Franklin', 'Peter Horrocks']",34.0,1.0,2.0,12.333333333333334,Low-profile,Low-profile,Low-profile,10,1,3
tt0038279,13 Rue Madeleine,6.9,3200.0,"['James Cagney', 'Annabella', 'Richard Conte', 'Frank Latimore', 'Walter Abel', 'Melville Cooper', 'Sam Jaffe', 'Dick Gordon', 'Horace McMahon', 'Trevor Bardette']",['Henry Hathaway'],"['John Monks Jr.', 'Sy Bartlett']",62.0,65.0,24.0,50.333333333333336,Low-profile,High-profile,High-profile,10,1,2
tt0107617,The Scent of Green Papaya,7.3,11000.0,"['Nu Yên-Khê Tran', 'Man San Lu', 'Thi Loc Truong', 'Anh Hoa Nguyen', 'Hoa Hoi Vuong', 'Ngoc Trung Tran', 'Vantha Talisman', 'Keo Souvannavong', 'Van Oanh Nguyen', 'Gerard Neth']",['Anh Hung Tran'],['Anh Hung Tran'],4.0,5.0,5.0,4.666666666666667,Low-profile,Low-profile,Low-profile,10,1,1
tt0234570,Rat,5.9,1000.0,"['Pete Postlethwaite', 'Imelda Staunton', 'Frank Kelly', 'David Wilmot', 'Andrew Lovern', 'Kerry Condon', 'Veronica Duffy', 'Ed Byrne', 'Niall Toibin', 'Alfie']",['Steve Barron'],['Wesley Burrowes'],25.0,8.0,1.0,11.333333333333334,Low-profile,Low-profile,Low-profile,10,1,1
tt0099384,Death Spa,5.2,4000.0,"['William Bumiller', 'Brenda Bakke', 'Merritt Butrick', 'Robert Lipton', 'Alexa Hamilton', 'Ken Foree', 'Rosalind Cash', 'Francis X. McCarthy', 'Shari Shattuck', 'Hank Cheyne']",['Michael Fischa'],"['James Bartruff', 'Mitch Paradise']",16.0,3.0,1.0,6.666666666666667,Low-profile,Low-profile,Low-profile,10,1,2
tt0234988,La ville est tranquille,7.2,1400.0,"['Ariane Ascaride', 'Jean-Pierre Darroussin', 'Gérard Meylan', 'Jacques Boudet', 'Christine Brücher', 'Jacques Pieiller', 'Pascale Roberts', 'Julie-Marie Parmentier', 'Pierre Banderet', 'Alex Ogou']",['Robert Guédiguian'],"['Jean-Louis Milesi', 'Robert Guédiguian']",18.0,3.0,3.0,8.0,Low-profile,Low-profile,Low-profile,10,1,2
tt0077645,Challenge of the Tiger,5.1,503.0,"['Bruce Le', 'Richard Harrison', 'Jeong-lee Hwang', 'Nadiuska', 'Brad Harris', 'May Hong', 'Tito García', 'Tao Chiang', 'Sharon Shira', 'Bolo Yeung']","['Bruce Le', 'Luigi Batzella', 'Richard Harrison']","['Bruce Le', 'Fan Pan']",34.0,5.0,1.0,13.333333333333334,Low-profile,Low-profile,Low-profile,10,3,2
tt4038968,Garip Bir Koleksiyoncu,7.3,268.0,"['Orçun Sonat', 'Haluk Kurtoglu', 'Kemal Inci', 'Muzaffer Çetinyilmaz', 'Gül Yalaz', 'Cemal Arsunel', 'Nihat Nikerel', 'Ahmet Açan', 'Mürüvvet Issever', 'Muhlis Asan']",['Nurettin Özel'],['Nurettin Özel'],5.0,1.0,1.0,2.3333333333333335,Low-profile,Low-profile,Low-profile,10,1,1
tt0048691,The Tall Men,6.7,3400.0,"['Clark Gable', 'Jane Russell', 'Robert Ryan', 'Cameron Mitchell', 'Juan García', 'Harry Shannon', 'Emile Meyer', 'Steve Darrell', 'Robert Adler', 'Frank Baker']",['Raoul Walsh'],"['Sydney Boehm', 'Frank S. Nugent', 'Heck Allen']",95.0,98.0,30.0,74.33333333333333,High-profile,High-profile,High-profile,10,1,3
