year,month,star_count,runtime,averageRating
2001,8,10,1.0,5.7
1980,1,10,4.0,7.6
2010,12,10,1.0,7.8
1994,3,6,1.0,6.9
2010,5,10,1.0,6.5
1965,12,10,2.0,7.5
1939,7,10,1.0,6.6
2025,3,6,2.0,6.0
1965,12,10,1.0,4.8
1935,9,10,1.0,6.3
1987,11,10,1.0,5.4
2004,5,10,1.0,4.8
1988,12,10,1.0,6.2
1947,11,10,1.0,6.8
2023,8,10,2.0,5.8
1968,3,10,1.0,6.9
2016,5,10,1.0,7.6
1986,3,10,1.0,4.3
1959,8,8,1.0,6.1
1931,3,10,1.0,6.5
1974,5,10,1.0,5.7
1960,9,10,1.0,6.5
1970,8,10,1.0,6.5
1977,11,10,1.0,7.6
1984,5,10,1.0,6.6
1957,9,10,1.0,6.8
1943,10,10,1.0,5.3
1937,5,10,1.0,5.3
2013,4,10,1.0,6.3
1969,6,10,1.0,5.4
1943,12,10,1.0,6.7
1921,11,10,1.0,6.7
1980,11,10,2.0,6.6
2012,11,10,2.0,6.9
2005,1,10,2.0,6.8
1926,1,9,1.0,5.1
2001,6,10,2.0,7.6
1964,9,10,1.0,5.5
1977,1,10,1.0,4.4
1937,12,10,49.0,5.6
2018,8,10,1.0,6.8
2009,9,10,1.0,7.4
1921,1,10,1.0,7.4
1938,11,10,1.0,6.4
1998,10,10,1.0,4.9
1962,12,10,1.0,5.8
2021,12,10,2.0,5.6
1941,4,10,56.0,4.2
1991,8,10,1.0,5.5
1968,2,9,1.0,5.2
1999,5,10,1.0,6.9
1944,3,10,1.0,6.2
2002,4,10,1.0,5.3
1928,8,6,1.0,5.7
1994,1,10,1.0,7.4
1998,3,10,1.0,4.6
2002,1,10,1.0,4.6
1926,4,10,1.0,5.7
2012,6,10,1.0,5.3
2003,8,10,1.0,6.1
1994,2,10,1.0,6.6
2021,9,10,1.0,6.0
1966,1,10,2.0,6.8
2021,8,10,1.0,5.4
1935,10,10,1.0,5.8
1940,9,7,2.0,7.9
1922,1,9,1.0,6.3
1946,9,10,56.0,5.7
1939,3,10,1.0,6.0
2016,8,10,1.0,5.3
1989,10,10,1.0,5.7
1950,2,10,1.0,7.3
1951,5,10,1.0,6.0
2023,3,10,2.0,8.2
1954,3,10,1.0,5.4
2008,12,10,1.0,7.3
2002,11,10,1.0,5.4
2022,6,10,1.0,4.8
2007,4,10,1.0,5.7
1979,7,10,1.0,6.6
1946,6,10,1.0,5.8
1955,10,10,1.0,6.5
1988,7,10,1.0,5.4
1967,4,10,1.0,7.5
2003,3,5,1.0,4.4
2001,5,10,1.0,7.9
1986,5,10,1.0,5.8
1923,9,10,1.0,6.7
2017,10,10,1.0,6.9
1932,4,7,1.0,4.6
1987,6,10,1.0,6.5
2001,9,10,1.0,6.0
1999,3,10,2.0,6.6
1968,1,10,1.0,5.8
2004,7,10,1.0,7.0
1989,6,10,2.0,7.5
1970,2,10,1.0,5.8
1991,9,10,1.0,4.7
1957,9,10,1.0,6.9
2020,5,10,1.0,5.8
1936,4,10,1.0,6.8
1979,1,4,1.0,8.0
1938,10,10,1.0,3.8
2004,8,10,2.0,7.5
1952,6,10,2.0,7.1
1960,1,10,1.0,5.6
1976,9,9,1.0,5.5
1956,5,10,1.0,4.7
1965,3,10,1.0,6.4
1979,1,10,1.0,4.6
1963,10,10,1.0,5.2
1921,10,10,1.0,6.6
1978,5,10,2.0,7.6
1975,5,10,1.0,2.6
1991,12,10,1.0,7.3
