Budget Tier,n_movies,avg_budget,avg_worldwide,median_worldwide,avg_roi,median_roi,pct_profitable,avg_opening_ratio
Low (<$10M),4613,3442574.4286386296,9464981.514199004,972212.0,209.47130883845304,-52.01952941176471,39.19358335139822,0.22759100817352
Mid ($10M–$100M),5115,32092882.22121408,76767244.73079179,35259653.0,137.25659897399012,38.26950333333333,58.82697947214076,0.18076226240845444
High (>$100M),646,1163313130.0309598,380462655.00619197,293508845.0,127.63589548917632,91.08091227142856,65.3250773993808,0.11843478364583336
